Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,Educational Option Type,NSLP Provision Status,Charter School,Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,total_enrolled,frpm,foster,homeless,migrant,direct_cert,unduplicated_frpm,english_learner,CALPADS Unduplicated Pupil Count (UPC),CALPADS Fall 1 Certification Status (Y/N)
2018-2019,01,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,551,366,,,,,,,,
2018-2019,01,61192,6001101,Alameda,Hayward Unified,Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,532,386,,,,,,,,
2018-2019,01,61192,6001127,Alameda,Hayward Unified,Ruus Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,486,304,,,,,,,,
2018-2019,01,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,778,530,,,,,,,,
2018-2019,01,61192,6001176,Alameda,Hayward Unified,Southgate Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,677,368,,,,,,,,
2018-2019,01,61192,6001192,Alameda,Hayward Unified,Treeview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,461,311,,,,,,,,
2018-2019,01,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,605,339,,,,,,,,
2018-2019,01,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,554,357,,,,,,,,
2018-2019,01,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,588,323,,,,,,,,
2018-2019,01,61192,6056972,Alameda,Hayward Unified,Winton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,505,349,,,,,,,,
2018-2019,01,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,492,324,,,,,,,,
2018-2019,01,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,757,452,,,,,,,,
2018-2019,01,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,552,314,,,,,,,,
2018-2019,01,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,675,550,,,,,,,,
2018-2019,01,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,132,83,,,,,,,,
2018-2019,01,61200,0000001,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,3,,,,,,,,
2018-2019,01,61200,0130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,1,12,136,41,,,,,,,,
2018-2019,01,61200,0132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,7,12,111,70,,,,,,,,
2018-2019,01,61200,0133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,282",416,,,,,,,,
2018-2019,01,61200,0134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,878",401,,,,,,,,
2018-2019,01,61200,0135376,Alameda,Livermore Valley Joint Unified,Lawrence Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,357,43,,,,,,,,
2018-2019,01,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,934,518,,,,,,,,
2018-2019,01,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,649,175,,,,,,,,
2018-2019,01,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,719,53,,,,,,,,
2018-2019,01,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,526,189,,,,,,,,
2018-2019,01,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,819,132,,,,,,,,
2018-2019,01,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,392,286,,,,,,,,
2018-2019,01,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,965,72,,,,,,,,
2018-2019,01,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,678,150,,,,,,,,
2018-2019,01,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,715,120,,,,,,,,
2018-2019,01,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,599,129,,,,,,,,
2018-2019,01,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,771,45,,,,,,,,
2018-2019,01,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,601,134,,,,,,,,
2018-2019,01,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,585,92,,,,,,,,
2018-2019,01,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,17,8,,,,,,,,
2018-2019,01,61234,0000001,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,2,,,,,,,,
2018-2019,01,61234,0130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,711",671,,,,,,,,
2018-2019,01,61234,0130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,43,26,,,,,,,,
2018-2019,01,61234,0135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,66,44,,,,,,,,
2018-2019,01,61234,6001440,Alameda,Newark Unified,August Schilling Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,378,244,,,,,,,,
2018-2019,01,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,283,155,,,,,,,,
2018-2019,01,61234,6001473,Alameda,Newark Unified,H. A. Snow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,343,144,,,,,,,,
2018-2019,01,61234,6001481,Alameda,Newark Unified,James A. Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,375,208,,,,,,,,
2018-2019,01,61234,6001499,Alameda,Newark Unified,Birch Grove Primary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,418,102,,,,,,,,
2018-2019,01,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,404,109,,,,,,,,
2018-2019,01,61234,6001523,Alameda,Newark Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,401,165,,,,,,,,
2018-2019,01,61234,6001531,Alameda,Newark Unified,Birch Grove Intermediate,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,438,153,,,,,,,,
2018-2019,01,61234,6102917,Alameda,Newark Unified,Newark Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,889,400,,,,,,,,
2018-2019,01,61242,0000001,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,2,,,,,,,,
2018-2019,01,61242,0110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,127,52,,,,,,,,
2018-2019,01,61242,0110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,10,8,,,,,,,,
2018-2019,01,61242,0126763,Alameda,New Haven Unified,Decoto School for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,121,49,,,,,,,,
2018-2019,01,61242,0134668,Alameda,New Haven Unified,James Logan High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"3,635","1,235",,,,,,,,
2018-2019,01,61242,6001572,Alameda,New Haven Unified,Alvarado Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,726,256,,,,,,,,
2018-2019,01,61242,6001606,Alameda,New Haven Unified,Hillview Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,513,293,,,,,,,,
2018-2019,01,61242,6001622,Alameda,New Haven Unified,Searles Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,662,301,,,,,,,,
2018-2019,01,61242,6068266,Alameda,New Haven Unified,Itliong-Vera Cruz,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,396",421,,,,,,,,
2018-2019,01,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,210",591,,,,,,,,
2018-2019,01,61242,6101604,Alameda,New Haven Unified,Pioneer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,750,198,,,,,,,,
2018-2019,01,61242,6115505,Alameda,New Haven Unified,Tom Kitayama Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,776,278,,,,,,,,
2018-2019,01,61242,6115554,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,569,283,,,,,,,,
2018-2019,01,61242,6118525,Alameda,New Haven Unified,Delaine Eastin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,765,122,,,,,,,,
2018-2019,01,61259,0000001,Alameda,Oakland Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,151,44,,,,,,,,
2018-2019,01,61259,0100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0510,Directly funded,Y,9,12,359,271,,,,,,,,
2018-2019,01,61259,0100701,Alameda,Oakland Unified,MetWest High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,160,115,,,,,,,,
2018-2019,01,61259,0100792,Alameda,Oakland Unified,Think College Now,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,305,257,,,,,,,,
2018-2019,01,61259,0102988,Alameda,Oakland Unified,EnCompass Academy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,327,290,,,,,,,,
2018-2019,01,61259,0106542,Alameda,Oakland Unified,Community Day High,Unified School District,District Community Day Schools,Community Day School,CEP,No ,N/A,N/A,N,9,12,25,17,,,,,,,,
2018-2019,01,61259,0106559,Alameda,Oakland Unified,Community Day Middle,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,6,8,9,8,,,,,,,,
2018-2019,01,61259,0106906,Alameda,Oakland Unified,Bay Area Technology,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,0661,Directly funded,Y,6,12,299,149,,,,,,,,
2018-2019,01,61259,0108944,Alameda,Oakland Unified,Lighthouse Community Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0700,Directly funded,Y,9,12,280,182,,,,,,,,
2018-2019,01,61259,0109819,Alameda,Oakland Unified,Aspire Berkley Maynard Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,0726,Directly funded,Y,K,8,587,360,,,,,,,,
2018-2019,01,61259,0110189,Alameda,Oakland Unified,McClymonds High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,383,316,,,,,,,,
2018-2019,01,61259,0110239,Alameda,Oakland Unified,Reach Academy,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,383,337,,,,,,,,
2018-2019,01,61259,0110247,Alameda,Oakland Unified,Manzanita SEED Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,391,239,,,,,,,,
2018-2019,01,61259,0110254,Alameda,Oakland Unified,Sankofa Academy,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,P,5,189,148,,,,,,,,
2018-2019,01,61259,0110262,Alameda,Oakland Unified,Rise Community,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,233,220,,,,,,,,
2018-2019,01,61259,0111476,Alameda,Oakland Unified,Achieve Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,0780,Directly funded,Y,K,5,638,526,,,,,,,,
2018-2019,01,61259,0111856,Alameda,Oakland Unified,American Indian Public High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0765,Directly funded,Y,9,12,411,258,,,,,,,,
2018-2019,01,61259,0112763,Alameda,Oakland Unified,United for Success Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,370,334,,,,,,,,
2018-2019,01,61259,0112771,Alameda,Oakland Unified,Alliance Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,287,268,,,,,,,,
2018-2019,01,61259,0112789,Alameda,Oakland Unified,Elmhurst Community Prep,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,372,337,,,,,,,,
2018-2019,01,61259,0112797,Alameda,Oakland Unified,Coliseum College Prep Academy,Unified School District,K-12 Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,12,486,416,,,,,,,,
2018-2019,01,61259,0112805,Alameda,Oakland Unified,ROOTS International Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,273,244,,,,,,,,
2018-2019,01,61259,0112813,Alameda,Oakland Unified,Fred T. Korematsu Discovery Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,295,275,,,,,,,,
2018-2019,01,61259,0114363,Alameda,Oakland Unified,American Indian Public Charter II,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,0882,Directly funded,Y,K,8,794,515,,,,,,,,
2018-2019,01,61259,0114868,Alameda,Oakland Unified,Oakland Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0883,Directly funded,Y,9,12,459,337,,,,,,,,
2018-2019,01,61259,0115014,Alameda,Oakland Unified,KIPP Bridge Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,0938,Directly funded,Y,K,8,528,371,,,,,,,,
2018-2019,01,61259,0115204,Alameda,Oakland Unified,Community United Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,351,315,,,,,,,,
2018-2019,01,61259,0115238,Alameda,Oakland Unified,ARISE High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0837,Directly funded,Y,9,12,317,199,,,,,,,,
2018-2019,01,61259,0115386,Alameda,Oakland Unified,Civicorps Corpsmember Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0948,Directly funded,Y,9,Adult,60,55,,,,,,,,
2018-2019,01,61259,0115576,Alameda,Oakland Unified,Futures Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,312,299,,,,,,,,
2018-2019,01,61259,0115584,Alameda,Oakland Unified,Global Family,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,444,397,,,,,,,,
2018-2019,01,61259,0115592,Alameda,Oakland Unified,Learning Without Limits,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1442,Directly funded,Y,K,5,429,330,,,,,,,,
2018-2019,01,61259,0115600,Alameda,Oakland Unified,East Oakland Pride Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,337,311,,,,,,,,
2018-2019,01,61259,0115618,Alameda,Oakland Unified,Greenleaf Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,635,552,,,,,,,,
2018-2019,01,61259,0115626,Alameda,Oakland Unified,West Oakland Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,6,8,199,181,,,,,,,,
2018-2019,01,61259,0115667,Alameda,Oakland Unified,Oakland International High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,369,340,,,,,,,,
2018-2019,01,61259,0118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1023,Directly funded,Y,6,12,618,494,,,,,,,,
